,Agree,Disagree,Pass,Difference from First Group,Difference from Second Group,Average Difference
0,80.0,20.0,0.0,19.285714285714292,0.0,9.642857142857146
1,92.0,8.0,0.0,-8.0,-3.0,5.5
2,96.0,4.0,0.0,3.142857142857139,46.0,24.57142857142857
3,32.0,68.0,0.0,-57.28571428571429,-38.0,47.642857142857146
4,92.0,4.0,4.0,-4.428571428571431,22.0,13.214285714285715
5,56.00000000000001,36.0,8.0,45.28571428571429,11.000000000000007,28.14285714285715
6,72.0,24.0,4.0,11.285714285714292,37.0,24.142857142857146
7,92.0,4.0,4.0,-8.0,62.0,35.0
8,84.0,12.0,4.0,69.71428571428572,-11.0,40.35714285714286
9,0.0,100.0,0.0,-28.57142857142857,-40.0,34.285714285714285
10,92.0,8.0,0.0,-4.428571428571431,32.0,18.214285714285715
11,44.0,52.0,4.0,-38.14285714285714,-6.0,22.07142857142857
12,24.0,76.0,0.0,9.714285714285715,-51.0,30.357142857142858
13,40.0,56.00000000000001,4.0,-42.14285714285714,-20.0,31.07142857142857
14,40.0,60.0,0.0,-20.714285714285708,-40.0,30.357142857142854
15,64.0,28.000000000000004,8.0,28.285714285714285,34.0,31.142857142857142
